UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
481429,NA,NA,NA,2938,NA,NA
481438,11000,11000,2067,9490,NA,NA
481447,NA,NA,NA,3462,NA,NA
481456,NA,NA,NA,4557,NA,NA
481465,NA,NA,NA,1761,NA,NA
481474,NA,NA,NA,3667,NA,NA
481483,NA,NA,NA,10536,NA,NA
481492,NA,NA,NA,1667,NA,NA
481508,NA,NA,NA,2880,NA,NA
481517,NA,NA,NA,3001,NA,NA
481526,NA,NA,NA,4244,NA,NA
481535,NA,NA,NA,NA,NA,NA
481544,NA,NA,NA,1266,NA,NA
481553,NA,NA,NA,2050,NA,NA
481562,NA,NA,NA,738,NA,NA
481571,NA,NA,NA,17647,NA,NA
481599,18096,18096,NA,5327,NA,NA
481614,18048,18048,NA,739,NA,NA
481623,18048,18048,4167,983,NA,NA
481632,NA,NA,NA,2892,NA,NA
481669,NA,NA,NA,2432,NA,NA
481678,NA,NA,NA,7074,NA,NA
481720,16360,16360,5488,9083,NA,NA
481739,NA,NA,NA,7878,NA,NA
481748,NA,NA,NA,6211,NA,NA
481766,10375,10375,3679,4193,NA,NA
481827,NA,NA,NA,11880,NA,NA
481845,NA,NA,NA,7590,NA,NA
481854,NA,NA,NA,2726,NA,NA
481863,NA,NA,NA,1823,NA,NA
481890,NA,NA,NA,6392,NA,NA
481906,NA,NA,NA,2502,NA,NA
481915,14950,14950,5000,422,NA,NA
481942,NA,NA,NA,1803,NA,NA
481960,NA,NA,NA,1631,NA,NA
481988,12850,12850,4500,994,NA,NA
482015,NA,NA,NA,942,NA,NA
482024,17870,17870,4020,2503,NA,NA
482033,NA,NA,NA,1483,NA,NA
482060,NA,NA,NA,1526,NA,NA
482097,NA,NA,NA,3224,NA,NA
482103,NA,NA,NA,4145,NA,NA
482149,7326,21130,7519,20309,172028311,234423992
482158,3474,9919,5591,6575,11703089,12036824
482167,NA,NA,NA,4273,NA,NA
482176,NA,NA,NA,4572,NA,NA
482185,16500,16500,NA,11275,NA,NA
482194,NA,NA,NA,7900,NA,NA
482200,NA,NA,NA,2535,NA,NA
482228,5200,5200,1899,1542,NA,NA
482246,NA,NA,NA,9834,NA,NA
482255,17897,17897,NA,2782,NA,NA
482264,NA,NA,NA,11112,NA,NA
482273,NA,NA,NA,9829,NA,NA
482307,13503,13503,NA,1597,NA,NA
482316,13503,13503,NA,888,NA,NA
482325,13503,13503,4333,1678,NA,NA
482334,13503,13503,NA,1103,NA,NA
482343,13503,13503,NA,1317,NA,NA
482352,13071,13071,NA,2451,NA,NA
482361,13071,13071,5056,3035,NA,NA
482370,13503,13503,4117,1026,NA,NA
482389,13503,13503,NA,2923,NA,NA
482398,13780,13780,3813,3613,NA,NA
482413,16888,16888,7267,2757,NA,NA
482422,16888,16888,7160,3779,NA,NA
482431,16888,16888,6600,3041,NA,NA
482440,16888,16888,5555,3291,NA,NA
482459,16888,16888,6522,3366,NA,NA
482468,16888,16888,6834,3306,NA,NA
482477,16888,16888,6977,1626,NA,NA
482486,16888,16888,5925,2523,NA,NA
482501,16888,16888,NA,4826,NA,NA
482510,16888,16888,NA,2693,NA,NA
482529,16888,16888,6084,2116,NA,NA
482538,16888,16888,6447,3796,NA,NA
482547,16888,16888,5284,2710,NA,NA
482556,16888,16888,7654,4128,NA,NA
482565,16888,16888,5617,3211,NA,NA
482574,16888,16888,7271,2786,NA,NA
482583,16888,16888,6334,2862,NA,NA
482592,16888,16888,6667,3536,NA,NA
482608,16888,16888,6534,4276,NA,NA
482617,16888,16888,5740,2886,NA,NA
482635,16888,16888,6999,4395,NA,NA
482644,16888,16888,NA,3554,NA,NA
482653,16888,16888,6845,3496,NA,NA
