SCL_UNITID	SCL_NAME	SCL_DIVISION	SCL_SUBDIVISION	SCL_CONFERENCE	SCL_HBCU	SCL_PRIVATE	SPORT	FED_RATE	ASR
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	WTR	71	75
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	WVB	50	75
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	MSO	71	67
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	MBB	22	31
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	WTE	50	-99
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	MBA	73	70
110529	California State Polytechnic University-Pomona	2	0	California Collegiate Athletic Association	2	0	WSO	65	66
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	WGO	86	100
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	MTR	56	68
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	MGO	50	44
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	WVB	69	81
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	MBA	60	62
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	MSO	72	65
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	WTR	75	83
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	WBB	50	68
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	WSO	56	91
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	MBB	18	50
110538	California State University-Chico	2	0	California Collegiate Athletic Association	2	0	WSB	71	87
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	WVB	31	52
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	MBB	40	24
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	WTR	9	31
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	WSB	38	47
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	MSO	25	30
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	WSO	67	53
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	WBB	25	52
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	MBA	25	32
110547	California State University-Dominguez Hills	2	0	California Collegiate Athletic Association	2	0	MGO	100	63
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	MBB	-99	33
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WGO	-99	33
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WSW	-99	62
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WVB	-99	90
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WWP	-99	86
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WSB	-99	56
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WTR	-99	78
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WBB	-99	83
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	MGO	-99	89
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	MBA	-99	79
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	WSO	-99	83
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	MSO	-99	60
110574	California State University-East Bay	2	0	California Collegiate Athletic Association	2	0	MTR	-99	60
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	WBB	45	41
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	WSO	38	47
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	WTE	0	64
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	WTR	50	42
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	MBA	13	23
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	MTR	0	25
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	WVB	14	50
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	MSO	63	40
110592	California State University-Los Angeles	2	0	California Collegiate Athletic Association	2	0	MBB	0	17
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MBB	86	86
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MNO	96	96
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MWP	67	91
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WSB	90	96
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WFE	100	100
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WTE	82	81
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MBA	91	94
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WBB	88	85
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WSO	91	97
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MGO	83	94
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MTE	90	88
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MTR	100	95
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WWP	88	100
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WCR	88	96
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MVB	85	93
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MSW	93	87
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WSW	94	100
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MFE	82	95
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WTR	96	96
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	MSO	100	92
110680	University of California-San Diego	2	0	California Collegiate Athletic Association	2	0	WVB	100	100
113698	Dominican University of California	2	0	Pacific West Conference	2	1	MGO	100	75
113698	Dominican University of California	2	0	Pacific West Conference	2	1	WTR	-99	100
113698	Dominican University of California	2	0	Pacific West Conference	2	1	WGO	100	100
113698	Dominican University of California	2	0	Pacific West Conference	2	1	WTE	100	70
113698	Dominican University of California	2	0	Pacific West Conference	2	1	WVB	57	91
113698	Dominican University of California	2	0	Pacific West Conference	2	1	WSO	69	88
